Έτος Εσοδείας,Ελλάδα,Ιταλία,Πορτογαλία,Ισπανία
1990/91,170.0,163.3,20.0,639.4
1991/92,385.0,674.5,62.0,593.0
1992/93,310.0,435.0,22.0,623.1
1993/94,254.0,520.0,32.1,550.9
1994/95,350.0,448.0,32.2,538.8
1995/96,400.0,620.0,43.7,337.6
1996/97,390.0,370.0,44.8,947.3
1997/98,375.0,620.0,42.0,1077.0
1998/99,473.0,403.5,35.1,791.9
1999/00,420.0,735.0,50.2,669.1
2000/01,430.0,509.0,24.6,973.7
2001/02,358.3,656.7,33.7,1411.4
2002/03,414.0,634.0,28.9,861.1
2003/04,308.0,685.0,31.2,1412.0
2004/05,435.0,879.0,41.2,989.8
2005/06,424.0,636.5,29.1,826.9
2006/07,370.0,490.0,47.5,1111.4
2008/9,305.0,540.0,53.4,1030.0
2009/10,320.0,430.0,62.5,1401.5
2010/11,301.0,440.0,62.9,1391.9
2011/12,294.6,399.2,76.2,1615.0
2012/13,357.9,415.5,59.2,618.2
2013/14,132.0,463.7,91.6,1781.5
2014/15,300.0,222.0,61.0,842.2
2015/16,320.0,474.6,109.1,1403.3
2016/17,195.0,182.3,69.4,1290.6
2017/18,346.0,428.9,134.8,1262.2
2018/19,185.0,173.6,100.3,1789.9
2019/20,275.0,366.5,140.5,1125.3
2020/21,275.0,273.5,100.0,1389.0
2021/22,232.0,329.0,206.2,1493.0
2022/23,345.0,240.9,126.0,665.8
2023/24,175.0,328.5,160.9,854.0
2024/25,250.0,224.0,195.0,1289.9
