Year,Production (tonnes)
1990/91,240.0
1991/92,465.0
1992/93,370.0
1993/94,314.0
1994/95,410.0
1995/96,470.0
1996/97,450.0
1997/98,460.0
1998/99,558.0
1999/00,520.0
2000/01,515.0
2001/02,473.3
2002/03,531.0
2003/04,400.0
2004/05,550.0
2005/06,549.5
2006/07,478.0
2007/08,95.0
2008/9,305.0
2009/10,427.0
2010/11,436.0
2011/12,424.6
2012/13,554.9
2013/14,262.0
2014/15,549.0
2015/16,514.0
2016/17,375.0
2017/18,607.0
2018/19,384.0
2019/20,497.0
2020/21,505.0
2021/22,407.0
2022/23,670.0
2023/24,285.0
2024/25,488.5
